distance_km,hour_of_day,is_weekend,traffic_factor,duration_minutes
7.27,20,0,1.682,28.98
14.838,4,1,2.008,70.25
0.61,13,1,0.865,1.09
10.937,2,0,0.994,25.58
9.704,9,1,2.104,48.2
8.756,5,0,1.115,23.38
7.752,3,0,1.092,18.27
10.221,19,1,1.538,38.54
3.113,2,0,1.03,5.78
16.627,0,0,1.618,65.25
16.511,14,0,1.606,64.51
10.877,15,1,0.75,18.52
9.915,3,1,2.219,53.15
6.658,9,0,2.117,31.83
5.889,22,0,1.698,24.18
13.805,13,1,0.899,28.23
8.533,15,1,1.39,26.97
7.621,22,1,0.921,16.2
6.659,15,0,1.857,31.96
14.824,6,0,1.83,66.35
18.148,0,1,2.068,90.98
17.776,1,0,1.374,59.44
11.229,1,1,2.091,57.07
16.007,1,1,1.942,77.07
8.254,3,0,1.662,32.35
4.834,23,1,1.803,21.06
17.188,3,0,1.546,62.04
3.87,10,1,1.94,19.27
4.542,16,1,1.924,21.72
19.617,16,1,2.164,99.47
14.83,12,0,1.538,55.65
11.978,18,0,3.201,94.68
10.293,22,1,1.824,44.72
15.752,19,0,2.588,96.87
2.979,20,1,2.478,18.05
9.693,23,0,1.685,38.19
7.371,0,0,2.314,40.67
6.56,13,0,2.044,32.82
16.891,14,1,1.596,63.71
9.462,18,0,1.814,40.63
2.981,7,0,1.357,12.28
14.982,22,1,1.988,71.93
10.056,16,1,1.62,39.36
6.029,13,1,1.774,27.98
6.589,14,0,2.446,37.89
4.281,1,0,2.405,22.19
11.156,1,0,1.0,29.48
6.771,4,0,2.132,31.55
9.315,0,0,1.731,40.36
10.555,14,1,1.915,46.16
6.29,14,1,0.948,14.68
10.676,12,0,2.33,59.47
11.151,5,0,1.772,47.82
12.533,17,0,1.127,32.46
3.552,0,0,1.919,15.03
15.839,22,1,0.85,31.0
8.221,5,1,0.757,14.66
15.188,17,0,1.285,47.9
20.0,10,0,1.1,55.14
5.834,10,1,1.683,23.92
9.916,16,1,2.173,51.03
8.014,0,1,1.689,32.74
10.64,20,0,1.713,43.6
5.603,4,1,1.547,21.35
20.0,14,1,1.719,83.5
17.286,8,1,2.923,121.85
15.892,2,1,0.857,31.83
3.338,13,0,1.838,15.99
12.314,14,1,1.096,32.05
12.678,0,0,1.899,59.48
11.695,22,1,1.887,52.98
14.073,0,1,1.749,57.4
16.529,22,0,1.012,42.34
13.416,8,1,1.317,43.25
15.049,1,1,1.474,51.32
17.169,20,1,1.157,47.36
15.716,19,0,1.184,46.42
10.286,7,1,1.014,22.98
9.801,14,0,2.394,52.13
13.101,13,1,1.139,35.11
15.613,8,1,1.995,73.23
9.544,0,0,2.463,55.89
9.115,3,0,1.616,35.62
6.46,8,0,1.278,19.92
20.0,19,1,2.456,119.24
15.702,1,1,1.199,45.51
13.943,20,1,1.067,35.25
9.19,3,1,1.077,21.96
19.956,19,0,1.791,84.47
13.942,6,0,0.975,32.15
9.905,8,1,1.773,41.84
12.727,1,0,1.33,37.12
9.515,4,1,1.192,28.72
8.574,21,0,0.897,15.62
15.373,6,0,1.381,50.81
7.226,10,1,2.161,36.71
14.417,0,0,1.978,68.89
10.844,10,1,1.344,36.81
7.445,9,1,1.323,27.8
18.753,6,1,0.986,46.19
11.011,8,0,1.086,27.13
5.772,6,1,1.418,18.66
14.085,13,0,1.001,34.91
17.294,22,1,1.206,48.15
7.632,9,0,1.764,33.23
18.26,18,1,1.352,60.73
13.835,20,1,1.928,64.83
7.55,22,1,1.445,24.31
13.829,14,0,1.473,47.85
5.972,11,1,1.562,22.81
3.814,19,1,1.784,16.79
7.705,12,0,1.105,20.66
13.645,20,0,2.777,93.08
19.056,6,1,1.021,46.08
12.041,4,1,0.733,22.3
13.507,12,0,1.602,49.41
7.083,15,0,1.677,28.3
5.95,2,1,2.014,25.53
12.541,4,0,1.319,41.26
3.333,7,1,1.371,11.01
5.714,1,0,1.061,12.01
8.936,19,1,2.886,62.31
12.046,14,1,0.863,26.37
3.107,15,0,1.117,11.82
8.942,1,1,1.513,34.11
14.717,3,0,1.712,59.91
20.0,13,1,0.963,46.3
11.466,14,1,1.029,29.93
13.932,18,1,1.851,61.81
6.997,14,1,1.791,29.78
14.655,19,1,1.847,63.73
8.645,1,0,2.305,49.53
10.54,6,1,1.349,36.73
15.155,16,1,1.347,49.53
18.309,14,1,1.246,55.62
8.115,22,0,1.356,26.4
8.748,4,1,1.975,39.74
18.365,9,0,2.222,97.45
14.932,6,0,2.318,83.43
11.414,16,0,1.464,39.93
17.229,11,0,1.14,47.6
15.488,21,0,1.175,45.65
15.526,3,1,1.214,43.42
8.176,13,0,1.195,24.49
8.622,7,0,1.919,40.52
7.301,13,1,1.894,28.62
6.365,8,0,2.366,36.15
8.635,22,0,1.364,26.22
10.725,19,1,1.697,41.33
14.802,7,0,1.848,66.67
13.86,11,1,1.174,38.27
14.274,19,1,2.406,81.86
5.04,20,1,2.429,30.45
10.6,1,0,2.162,54.66
15.471,2,1,0.827,29.71
8.479,2,0,1.807,38.48
11.784,23,0,1.216,31.37
4.585,20,0,1.641,18.18
17.917,16,1,1.883,80.38
19.522,2,1,1.631,77.79
4.695,19,1,1.079,14.14
5.478,0,1,1.472,22.53
11.905,18,0,1.943,53.92
10.371,6,1,2.184,54.7
9.213,1,1,2.138,44.78
19.167,20,0,2.581,118.03
4.732,21,0,0.821,8.4
5.805,18,0,2.186,31.05
18.23,21,1,1.617,72.19
4.81,3,1,1.966,22.57
19.482,15,0,0.965,46.13
8.33,13,0,1.1,22.3
8.461,6,0,1.142,23.92
12.865,13,1,1.679,49.7
4.717,10,0,2.334,24.3
14.597,0,0,0.965,33.61
3.681,15,1,1.645,14.5
7.161,7,1,1.738,29.49
6.205,22,1,1.83,27.6
15.604,8,0,1.854,67.82
12.886,10,0,2.441,73.99
6.462,7,1,1.332,20.19
11.237,22,0,2.048,54.84
7.178,18,0,1.323,23.15
8.678,14,0,1.62,32.52
15.972,22,0,0.979,37.9
12.165,23,1,1.739,50.75
8.041,20,1,1.116,20.45
7.741,12,1,1.72,29.12
16.265,8,0,1.683,66.75
10.81,4,1,2.18,57.43
15.489,12,1,1.209,43.45
7.248,12,0,1.715,31.53
17.254,15,1,0.946,38.64
20.0,16,0,1.265,63.15
8.49,9,1,1.053,21.77
13.084,23,0,2.369,73.6
10.936,21,0,2.485,63.92
11.828,16,1,1.152,32.3
14.436,10,0,2.918,100.68
12.211,4,0,1.171,32.71
16.441,18,0,2.539,101.03
10.028,3,1,2.21,53.14
20.0,18,1,2.865,136.44
13.36,5,1,1.907,60.06
20.0,20,1,1.483,70.38
14.088,16,0,0.839,27.19
7.461,18,0,1.889,36.15
11.509,17,0,1.489,41.13
8.035,16,1,0.818,16.74
8.789,21,0,1.107,21.76
12.154,3,0,1.019,29.96
11.996,16,1,1.276,37.6
12.148,9,0,3.131,88.69
5.213,16,1,1.647,20.29
13.002,1,0,1.041,33.13
11.503,23,1,0.834,22.2
14.431,2,1,1.755,61.56
1.461,20,0,2.619,8.88
9.514,4,1,2.238,50.8
10.671,17,1,0.821,21.16
7.04,7,1,0.735,9.59
12.243,23,1,1.621,50.38
13.793,9,1,2.144,71.71
15.032,17,1,1.45,51.74
9.045,4,0,1.444,31.3
14.161,19,1,2.342,79.1
16.631,8,1,1.971,78.02
7.176,10,0,2.443,38.73
6.562,2,1,1.568,21.64
11.728,15,1,1.508,42.58
11.541,19,0,3.053,84.5
10.196,16,0,1.833,42.47
3.473,7,0,0.928,8.69
12.788,3,1,2.118,63.49
14.13,9,1,1.52,52.1
15.157,20,0,3.107,115.42
20.0,14,1,1.176,57.56
15.879,6,0,1.699,65.63
7.884,21,1,1.066,19.17
8.642,14,1,0.968,20.84
8.526,6,0,1.122,24.42
18.876,15,1,0.902,41.23
8.366,12,1,0.921,21.06
7.104,1,1,1.377,22.79
5.951,2,1,1.099,16.73
14.374,7,1,1.024,36.78
6.004,5,0,2.487,34.06
17.294,4,1,0.747,29.85
7.751,22,0,1.177,21.42
9.318,11,1,1.098,24.79
20.0,10,0,1.671,79.8
2.09,3,0,1.937,11.73
14.667,11,1,1.085,37.85
15.462,1,0,1.128,43.82
14.994,9,1,2.904,105.23
11.331,17,1,2.089,59.1
16.324,13,0,1.084,41.87
5.1,6,1,1.477,21.96
10.281,16,1,1.581,37.42
14.069,0,1,1.491,51.64
3.023,8,0,1.418,11.35
20.0,8,0,2.46,118.38
17.262,11,1,1.217,53.34
14.453,1,0,2.201,75.31
0.954,17,0,2.028,3.27
11.262,14,0,1.351,33.17
15.253,14,0,2.041,73.93
6.256,5,0,1.768,26.89
14.923,5,1,1.772,63.77
4.971,23,0,2.035,25.06
14.86,0,0,1.025,36.69
11.965,3,1,2.025,56.97
20.0,5,1,1.228,59.21
13.228,3,1,0.877,28.26
20.0,7,1,1.31,62.12
5.258,3,1,0.979,13.34
19.458,19,1,1.171,57.69
16.022,19,0,2.542,96.17
4.466,11,0,1.261,12.07
12.082,4,0,1.344,38.99
9.981,2,0,1.782,43.87
12.085,10,1,1.779,51.29
2.724,20,0,1.887,10.56
10.592,22,1,1.526,38.23
18.799,11,0,1.146,52.53
17.21,11,0,1.301,52.59
18.444,7,0,2.207,98.47
18.545,13,1,0.803,36.01
8.25,5,0,1.05,21.49
9.076,15,0,2.072,46.0
6.426,20,0,1.674,27.54
17.856,13,1,1.568,69.76
8.358,13,0,1.262,26.54
18.161,12,0,2.198,96.61
20.0,15,1,1.719,81.28
8.454,3,0,1.417,29.57
12.458,3,0,1.16,37.97
16.506,2,0,1.758,69.89
20.0,0,1,1.87,91.47
5.182,21,0,1.363,16.5
10.246,0,1,1.45,35.93
2.14,22,0,2.303,11.53
9.661,16,1,1.405,33.41
13.714,21,1,1.086,36.65
1.166,15,0,2.168,7.96
17.981,3,1,1.2,54.15
15.067,2,0,1.105,40.1
11.819,4,0,2.452,68.4
4.572,19,0,2.014,20.01
7.493,21,0,1.855,33.2
9.012,0,0,2.25,48.44
7.606,2,1,1.433,27.01
16.379,23,0,2.36,95.03
13.302,15,0,1.994,62.46
10.029,15,0,1.888,45.29
7.468,13,1,1.047,19.1
14.458,8,0,1.225,43.88
13.257,21,1,1.002,32.51
8.441,9,0,1.479,31.57
11.72,22,1,1.979,55.06
8.723,18,0,1.755,40.29
14.861,14,0,1.649,58.51
13.037,23,0,2.48,80.37
11.824,23,0,1.514,41.94
5.164,6,0,1.429,16.88
7.448,14,1,1.348,25.05
5.775,3,0,1.58,20.57
5.148,21,1,1.69,22.24
16.98,2,0,0.952,42.28
12.242,20,1,1.937,57.28
8.952,14,1,0.895,21.51
3.366,20,1,0.951,4.8
12.964,8,1,2.604,81.45
17.7,4,1,2.006,83.74
12.013,18,1,1.417,41.82
6.009,4,1,2.215,31.79
11.894,3,0,1.657,45.53
13.042,10,0,1.246,37.07
16.784,19,0,2.304,95.2
9.864,20,0,1.696,40.54
11.874,8,0,1.648,48.89
12.127,19,0,1.277,36.32
8.886,11,0,1.464,30.91
5.313,12,1,1.689,21.56
14.889,21,0,0.999,34.95
20.0,8,0,1.466,71.53
11.017,11,0,2.328,62.35
8.222,6,0,1.393,27.63
5.833,16,1,2.131,29.83
12.261,18,1,1.265,38.24
7.393,19,1,2.559,43.93
1.776,2,1,0.976,2.73
13.016,20,1,1.728,56.04
4.133,11,1,0.942,11.14
16.116,6,1,1.588,60.96
3.493,17,1,1.816,16.21
7.625,20,1,2.293,39.43
6.578,8,1,1.173,19.61
7.762,0,1,0.747,14.33
10.261,1,0,1.374,31.91
18.125,9,1,1.567,67.81
16.623,14,1,2.018,81.03
16.37,0,0,0.881,35.33
10.41,6,1,1.969,49.23
3.477,1,0,0.882,6.96
7.094,4,1,0.903,16.49
14.921,13,1,1.742,61.29
7.05,15,0,0.956,16.03
9.503,7,0,1.981,46.75
7.963,15,0,1.379,27.15
11.003,9,1,2.239,59.54
10.701,19,0,2.764,70.4
0.779,18,0,1.366,4.32
16.948,21,1,1.258,49.45
8.439,12,1,1.497,31.45
14.778,9,0,1.93,68.84
2.916,21,0,1.899,14.31
4.774,3,1,1.066,11.95
13.027,23,1,1.478,46.68
15.763,5,1,1.851,70.91
15.175,5,0,1.365,46.01
17.882,2,0,1.955,84.95
2.598,15,0,1.603,10.27
10.87,4,0,0.97,25.38
6.972,17,1,1.735,29.0
11.772,21,1,0.893,26.88
15.578,7,0,1.407,54.54
12.765,12,0,2.441,75.17
4.505,16,0,1.251,12.17
13.573,1,1,1.996,62.2
9.868,11,1,0.889,24.47
11.326,17,0,1.316,35.96
16.017,9,0,1.158,43.95
11.369,9,0,3.148,87.38
5.665,2,1,1.055,12.96
10.786,3,1,2.128,55.32
14.178,18,0,2.55,87.03
11.642,20,1,2.022,57.26
14.461,14,1,1.491,51.18
13.505,17,0,2.428,77.39
9.851,7,1,0.915,19.76
7.228,0,1,1.955,33.4
19.892,20,0,1.777,85.85
12.303,21,0,1.993,59.55
13.023,21,0,1.312,39.31
16.789,0,0,1.826,77.78
7.592,16,1,1.318,25.14
14.092,8,1,2.645,88.89
4.85,23,0,1.09,12.59
13.736,15,1,1.742,55.53
8.362,13,0,0.848,15.15
18.216,19,1,1.021,45.14
10.829,8,0,3.21,81.57
4.588,2,0,1.915,23.39
0.5,4,1,1.921,1.0
9.549,19,0,2.313,50.16
15.454,10,1,2.099,78.1
4.686,15,1,1.215,13.18
15.257,3,0,2.038,71.61
14.95,23,0,1.551,58.32
11.772,3,1,1.298,38.62
5.329,6,0,1.538,19.53
17.903,21,0,1.146,50.41
7.769,5,1,1.011,15.9
11.278,17,0,2.163,56.59
16.639,3,0,1.648,66.59
5.524,9,1,1.713,20.8
8.424,16,1,1.331,29.28
4.588,8,0,1.111,11.35
20.0,10,0,1.561,75.39
19.098,1,1,2.221,103.73
16.959,8,0,1.27,51.06
5.905,7,0,2.383,36.36
4.333,0,1,0.8,8.75
9.128,4,0,1.545,37.24
3.06,7,0,1.801,10.66
14.732,18,0,3.23,116.58
15.388,1,1,1.255,46.57
10.724,15,0,1.916,52.46
14.024,7,1,1.811,62.59
14.637,16,1,1.208,41.75
13.511,2,0,2.35,76.04
11.947,3,1,1.829,52.54
15.449,0,1,2.0,73.74
7.391,1,1,2.027,35.75
3.737,21,1,1.535,13.96
17.826,19,1,2.771,120.84
5.735,13,1,1.917,24.89
4.728,23,1,2.034,24.62
8.01,12,1,1.861,35.14
20.0,8,0,3.247,156.04
7.985,8,0,1.315,23.95
7.307,14,0,1.548,23.33
16.416,2,1,2.092,83.26
13.797,8,1,2.665,89.7
10.073,1,0,1.964,48.98
18.402,1,1,2.212,100.58
18.865,3,0,1.662,75.53
9.839,21,1,0.829,18.49
10.364,20,1,1.872,47.11
20.0,4,0,0.981,47.38
1.61,6,1,1.991,8.95
9.392,2,0,2.43,56.7
6.133,3,0,1.832,26.87
9.913,18,1,2.748,64.11
20.0,22,0,1.557,77.08
19.744,2,1,1.72,80.19
12.547,17,0,2.12,62.83
8.722,9,1,1.56,34.03
8.69,5,1,0.744,16.28
16.205,23,0,1.015,41.03
12.633,12,1,1.262,38.61
10.977,10,0,3.237,87.64
1.199,13,1,1.879,6.1
2.857,16,0,1.059,9.27
9.539,23,1,2.165,49.68
7.527,16,1,1.156,19.01
16.395,23,0,1.532,61.96
10.426,5,0,1.289,31.2
6.807,3,0,1.933,31.67
18.849,0,0,2.432,107.4
12.306,18,1,2.392,69.98
14.956,22,0,1.555,54.77
17.358,11,0,2.065,86.52
5.304,14,0,2.002,24.13
14.436,17,0,2.414,86.76
12.257,7,0,1.251,38.4
16.605,16,0,0.805,34.34
8.055,13,1,1.658,31.31
15.079,7,1,1.742,62.24
2.93,9,0,1.524,13.83
7.805,13,0,1.1,19.86
14.475,4,1,2.005,71.0
10.008,13,0,1.756,40.64
3.269,13,1,1.119,10.41
5.333,7,0,1.711,22.48
10.627,4,0,2.415,63.06
12.721,2,0,1.682,51.54
8.012,22,0,1.293,25.64
11.151,0,0,1.653,45.46
11.309,20,0,1.115,30.25
13.499,2,0,0.926,27.24
16.11,17,0,0.962,35.94
8.534,23,0,1.314,26.12
14.673,12,1,1.377,48.76
10.386,12,0,2.488,63.53
4.688,14,0,1.782,22.6
8.19,4,0,0.962,19.31
13.964,4,1,1.663,53.37
4.481,9,1,2.595,28.31
13.001,8,0,2.709,85.04
1.128,16,0,2.366,4.59
6.753,16,0,1.083,13.84
7.962,15,0,2.073,41.15
5.612,9,1,1.975,25.52
3.079,19,1,1.969,13.6
17.724,23,0,1.079,45.54
16.256,0,1,1.793,68.3
5.767,19,1,2.118,31.27
19.558,9,1,2.099,99.37
7.539,17,0,0.932,18.26
11.154,18,1,1.593,44.62
11.777,19,1,1.352,39.31
17.726,15,0,1.35,57.44
11.411,21,1,1.22,32.67
4.322,9,1,1.992,20.66
2.575,8,0,2.896,16.28
7.085,11,0,0.843,13.69
8.489,6,0,1.45,30.62
14.283,9,1,1.123,40.75
14.091,1,1,1.702,53.57
15.522,0,1,2.246,86.61
8.297,17,0,0.865,20.35
19.851,13,0,0.895,43.23
15.255,6,0,1.366,48.48
10.964,11,0,2.399,60.29
16.208,16,0,2.039,80.73
5.138,23,0,1.329,17.21
14.181,2,1,0.855,29.92
13.344,5,0,1.17,36.99
8.422,21,0,2.071,41.76
5.869,13,0,2.22,29.98
15.755,14,1,0.861,31.7
3.443,5,0,2.414,21.08
16.363,13,1,1.708,66.58
6.407,8,0,2.174,32.31
13.79,16,0,1.608,51.92
9.965,3,1,2.05,49.3
8.509,3,0,2.352,47.45
16.249,18,1,2.39,94.78
8.917,15,1,1.179,28.26
10.963,8,1,2.116,55.1
8.94,22,0,2.418,51.12
19.227,4,1,1.422,65.27
17.237,9,1,1.096,45.42
17.678,11,0,1.611,69.38
8.814,15,1,1.992,41.44
14.839,10,1,2.567,88.95
10.172,15,0,1.177,26.74
11.398,12,0,1.897,50.29
5.1,10,1,2.237,26.28
8.274,13,0,1.078,21.96
15.447,21,0,1.915,68.75
13.334,0,1,1.72,56.59
13.692,23,0,1.826,60.54
1.465,11,0,2.135,5.96
13.573,4,0,1.373,46.56
13.702,1,1,1.151,37.05
9.525,21,1,1.106,24.63
14.698,0,1,1.217,43.99
12.554,23,1,1.1,33.73
9.599,14,0,2.362,54.75
7.323,1,0,1.355,25.81
15.035,23,0,1.374,50.08
5.732,23,1,1.824,25.07
8.132,9,0,2.574,49.64
7.984,8,0,1.652,30.68
15.123,0,1,1.726,60.83
11.948,3,0,1.182,33.63
5.222,13,1,1.548,18.38
5.505,14,0,1.585,20.9
15.91,18,0,2.435,91.96
14.761,11,1,1.166,40.43
6.149,13,1,2.244,35.17
15.145,7,1,2.129,78.78
20.0,18,1,1.291,63.49
14.756,13,1,1.869,64.44
11.243,20,1,1.935,53.21
10.768,9,1,1.248,33.32
17.23,21,0,1.452,58.95
8.524,19,0,1.346,23.5
11.059,7,0,1.768,43.13
12.93,20,1,2.034,65.03
16.308,22,0,1.349,50.57
8.676,7,1,2.234,47.69
4.877,5,0,1.586,14.71
20.0,16,1,2.039,99.29
3.311,20,0,2.009,16.63
14.999,23,0,1.418,50.66
12.925,8,0,2.636,80.0
9.495,15,0,1.25,27.36
6.61,10,1,2.307,38.62
3.783,1,0,1.052,9.29
11.504,5,1,1.447,40.99
10.329,4,1,2.034,50.39
19.195,11,1,1.45,67.87
9.432,16,1,1.521,31.96
8.408,12,0,1.937,41.46
3.473,19,0,2.476,19.61
2.003,16,0,2.06,11.21
18.873,16,0,1.262,59.96
9.211,16,0,1.216,26.19
13.524,7,1,0.991,33.35
10.694,4,1,0.813,20.72
8.215,17,0,1.342,25.8
9.146,6,1,1.179,25.14
20.0,14,0,1.801,84.79
13.017,20,0,1.766,53.29
3.623,17,0,1.38,11.22
3.217,0,1,2.087,14.52
8.99,21,1,0.865,19.54
17.738,7,0,1.322,55.24
4.031,19,0,2.302,22.77
3.925,5,1,2.184,21.29
4.937,8,0,3.102,33.84
4.135,23,1,1.408,14.49
7.201,12,0,2.447,40.64
20.0,6,1,1.171,58.37
9.284,17,0,2.156,46.84
12.915,23,1,2.177,66.38
12.86,22,1,1.102,36.01
11.326,14,1,0.89,24.03
4.26,13,0,2.286,21.71
5.617,21,1,1.572,20.14
15.134,22,1,2.185,77.68
9.477,11,1,1.024,25.28
15.482,4,0,1.892,67.85
16.696,11,0,1.762,71.79
12.64,17,1,1.152,34.68
10.743,5,0,1.776,46.27
12.85,21,1,1.971,57.72
14.776,18,1,1.839,65.89
4.734,12,1,0.73,8.43
4.059,21,1,1.535,14.69
14.633,22,0,1.121,40.14
20.0,4,1,2.181,105.7
3.003,9,0,1.978,13.79
10.766,14,0,2.218,60.8
10.033,12,0,1.56,36.73
14.032,18,0,1.4,47.75
16.392,10,1,1.316,54.45
6.775,0,1,1.949,31.44
2.0,2,1,2.167,9.78
5.023,0,1,1.836,21.26
2.804,0,0,1.682,12.39
4.723,9,1,2.164,25.84
14.554,4,0,1.421,51.97
8.943,8,1,0.993,20.11
16.976,4,1,0.791,30.78
18.361,2,1,2.232,99.77
20.0,17,1,0.926,42.73
14.744,21,1,2.184,75.99
14.863,18,0,1.318,44.32
13.405,9,0,1.592,50.97
1.185,14,1,1.883,6.42
12.252,12,0,2.15,64.38
17.762,7,0,1.474,64.57
15.279,12,1,2.239,82.22
9.419,20,1,1.607,37.22
6.688,21,1,1.888,29.58
15.216,17,0,0.961,37.88
7.134,14,1,1.567,26.38
15.303,16,0,1.041,37.13
7.303,18,0,2.809,46.87
14.26,11,0,0.97,34.28
13.809,19,1,2.643,89.44
19.738,16,1,2.087,98.09
18.73,9,0,3.08,138.61
16.329,4,1,1.978,77.78
8.684,12,0,1.223,22.77
13.418,12,0,2.034,63.59
3.933,20,0,2.191,19.52
10.659,14,1,1.978,48.61
13.718,8,0,1.883,61.47
13.193,22,1,1.88,59.65
10.032,21,1,2.0,48.85
11.277,8,1,2.736,73.19
8.323,22,1,1.091,20.77
10.238,22,1,1.578,39.53
7.008,18,0,2.312,37.65
5.696,19,1,2.558,34.88
9.242,1,1,1.964,43.15
14.705,18,0,1.093,39.23
4.361,8,1,2.564,26.61
10.52,1,1,1.421,37.05
6.613,10,1,2.434,38.57
6.459,11,0,1.338,19.6
12.666,12,0,1.25,41.12
10.862,5,0,1.349,36.67
7.825,17,0,1.477,29.01
15.553,21,1,2.024,76.38
13.921,23,1,1.659,56.5
19.269,7,0,1.935,89.22
19.737,20,0,1.361,66.22
15.613,14,1,1.571,59.86
4.878,12,1,1.801,21.08
18.075,7,1,1.547,69.14
8.491,18,0,1.254,26.62
9.938,3,0,2.024,47.84
8.26,1,1,1.667,30.93
11.383,17,1,1.575,44.33
4.43,23,1,1.592,17.41
6.957,22,0,2.477,41.7
5.055,16,1,0.941,13.02
14.091,19,0,2.614,87.91
10.21,23,0,1.223,30.56
14.675,20,1,2.385,83.68
6.587,12,1,0.932,15.31
11.943,8,1,1.116,31.93
7.109,3,1,0.751,13.82
17.011,5,0,2.438,99.4
15.597,2,0,1.12,41.91
9.503,21,0,1.82,38.67
18.492,14,0,1.858,81.02
15.31,9,1,1.15,41.45
1.227,19,1,2.801,6.42
12.161,3,0,1.375,39.4
9.772,15,0,2.241,53.39
18.344,22,1,1.878,81.92
4.41,12,1,1.297,12.77
3.76,12,1,1.481,13.65
4.177,2,1,2.085,19.7
13.731,1,0,0.88,28.69
16.316,23,0,1.665,66.11
13.136,5,0,2.011,64.31
6.954,6,0,2.371,40.02
20.0,5,1,1.985,93.28
11.225,13,1,1.033,29.91
13.509,13,1,1.297,42.58
19.127,1,1,0.917,41.29
12.906,15,0,1.112,32.75
15.975,17,1,1.156,47.49
17.178,6,0,1.743,71.08
20.0,12,0,0.942,45.23
8.242,23,0,1.551,30.96
7.645,1,0,2.413,42.07
17.434,6,0,1.465,62.02
9.707,14,0,2.281,54.17
11.882,4,1,0.807,22.39
10.164,11,0,1.044,24.05
8.909,12,0,2.257,48.29
10.852,18,1,1.498,38.61
5.416,19,1,1.622,22.74
9.426,4,1,1.695,38.22
18.418,11,0,1.534,67.67
10.037,4,1,1.038,25.43
8.509,12,1,1.276,25.37
11.264,6,1,2.098,58.05
3.896,6,1,0.936,10.45
11.311,1,0,1.169,33.11
7.967,5,1,0.756,14.99
12.054,20,1,2.08,62.04
10.93,23,0,2.096,52.94
10.123,3,0,0.946,23.15
0.998,10,1,1.34,3.82
4.564,14,1,1.238,14.4
14.225,4,0,1.506,49.37
10.898,22,0,2.459,63.91
12.847,4,1,1.443,41.97
11.779,18,0,2.029,57.72
14.783,10,0,2.999,107.14
12.176,21,0,2.435,71.48
18.587,19,1,0.968,44.38
11.166,16,0,1.632,42.76
15.644,14,1,1.236,45.72
14.219,19,0,2.664,95.74
19.689,1,1,1.786,83.02
13.153,11,1,1.565,51.73
15.846,2,1,2.038,77.76
11.707,2,0,1.772,49.6
12.928,23,1,2.051,63.0
3.678,21,0,1.841,15.66
20.0,5,0,2.021,98.35
3.518,20,0,2.092,18.53
18.098,9,0,2.018,87.04
6.453,6,0,1.995,30.87
16.645,5,1,1.692,65.89
10.675,23,0,1.702,42.49
9.891,2,0,0.907,20.16
12.052,22,1,0.738,23.38
16.531,11,0,1.768,69.94
9.977,15,1,1.555,35.94
15.647,13,1,2.066,76.39
2.078,4,0,2.054,12.64
11.296,12,0,1.479,42.74
1.546,3,0,1.465,5.67
3.047,9,1,1.389,7.76
6.087,1,1,2.191,32.21
9.138,7,1,1.95,42.54
12.517,13,0,1.818,54.75
7.622,4,1,1.585,28.71
15.419,10,1,2.501,92.6
8.982,4,1,1.916,38.33
7.41,18,1,2.707,46.7
14.388,10,0,2.21,73.17
20.0,6,1,1.809,87.59
11.098,0,1,1.265,32.29
14.194,17,0,2.201,73.65
16.379,23,0,2.05,81.51
3.172,0,1,1.119,11.05
18.291,2,1,1.431,63.55
4.03,3,1,1.418,13.25
1.974,10,0,1.314,7.51
9.066,20,1,2.222,46.93
11.335,9,1,2.061,53.24
12.877,2,0,1.058,31.39
7.353,11,1,0.844,14.58
14.211,22,0,1.732,59.54
10.963,8,0,1.569,40.1
16.105,7,0,2.415,91.83
14.939,20,1,0.974,35.1
13.097,18,0,1.502,45.46
11.52,11,0,1.475,40.89
9.4,12,0,2.219,50.21
17.639,12,0,1.906,79.13
10.121,3,0,1.459,35.92
4.037,23,1,1.994,17.89
17.751,18,1,1.367,55.47
20.0,6,1,2.169,103.07
18.34,17,1,1.936,86.09
20.0,0,0,1.853,91.2
13.252,5,0,0.891,25.5
14.166,2,1,1.359,48.74
18.714,6,0,2.363,106.49
16.605,15,0,0.824,33.79
9.208,22,1,0.817,18.62
7.268,1,1,1.382,23.19
14.358,8,1,2.366,81.73
17.123,6,0,1.972,82.9
18.078,22,1,1.932,79.2
15.941,11,1,1.976,74.19
11.273,20,1,1.746,46.83
11.828,4,1,1.754,46.59
13.169,20,1,1.833,60.01
10.198,20,0,2.363,55.1
0.56,6,1,0.845,1.0
2.285,3,0,1.233,3.36
3.949,10,1,2.027,18.09
1.56,23,1,1.772,7.71
11.716,22,0,2.318,65.11
10.783,22,1,1.09,25.88
6.226,0,1,0.905,15.09
10.523,3,1,2.166,54.58
5.011,19,1,2.199,26.26
9.221,11,0,1.235,24.68
8.163,11,1,2.242,44.36
19.064,8,0,1.223,55.59
5.672,15,0,1.349,16.01
2.863,3,0,1.963,11.61
6.416,8,1,2.53,37.71
13.409,16,1,0.986,28.93
8.766,2,0,1.62,34.95
12.186,5,1,0.787,23.58
12.78,22,0,0.973,31.08
18.289,14,1,1.281,56.13
11.724,15,0,1.274,35.56
11.379,21,1,1.446,38.37
20.0,5,0,1.558,74.75
17.375,21,0,1.79,74.95
12.23,11,0,1.667,49.22
5.644,9,0,1.746,23.72
10.576,5,1,1.566,41.47
